Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:31:23
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Ah38m,3.9961 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah38p,162.56 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah39m,3.7993 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah39p,69.798 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah40m,3.3310 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah40p,-12.988 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah41m,3.3717 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah41p,-116.04 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah42m,3.1339 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah42p,151.63 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah43m,2.8347 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah43p,59.895 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah44m,2.5677 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah44p,-31.886 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah45m,2.3168 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah45p,-122.18 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah46m,2.0797 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah46p,148.74 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah47m,1.8426 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah47p,60.688 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah48m,1.6735 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah48p,-26.630 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah49m,1.5390 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah49p,-111.70 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah50m,1.4631 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah50p,163.87 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh1m,4.1653 W   ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh2m,228.88 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh3m,-3.5894 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh4m,-2.5083 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh5m,125.30 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh6m,-1.0740 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh7m,12.372 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh8m,-507.77 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh9m,-24.745 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh10m,-539.44 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh11m,13.032 mW  ,,,,,,,,,,,,,,,,,,,,,,,,,
Wh12m,260.67 μW  ,,,,,,,,,,,,,,,,,,,,,,,,,
